Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Ramli, N.S.F., Junit, S.M., Leong, N.K., Razali, N., Jayapalan, J.J., Aziz, A.A.","Analyses of antioxidant status and nucleotide alterations in genes encoding antioxidant enzymes in patients with benign and malignant thyroid disorders",2017,"PeerJ",2017,6, e3365,,,,1,10.7717/peerj.3365,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85020029458&partnerID=40&md5=2e69a57f4d53cf32e9c934427f9ebeff",Article,Scopus,2-s2.0-85020029458
"Pinheiro, F.L., Rodrigues, T.","Anhanguera taxonomy revisited: Is our understanding of Santana Group pterosaur diversity biased by poor biological and stratigraphic control?",2017,"PeerJ",2017,5, 3285,,,,1,10.7717/peerj.3285,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85018244631&partnerID=40&md5=07e708ab6181e048e4114d42dac785a6",Article,Scopus,2-s2.0-85018244631
"Reddy, M.N., Dungdung, R., Valliyott, L., Pilankatta, R.","Occurrence of concurrent infections with multiple serotypes of dengue viruses during 2013-2015 in northern Kerala, India",2017,"PeerJ",2017,3, e2970,,,,2,10.7717/peerj.2970,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85015169213&partnerID=40&md5=197a25cd30267a168b0ce7ef38654d57",Article,Scopus,2-s2.0-85015169213
"Kumar, Y.K., Mehta, S.B., Ramachandra, M.","Computer simulation of Cerebral Arteriovenous Malformation-validation analysis of hemodynamics parameters",2017,"PeerJ",2017,1, e2724,,,,1,10.7717/peerj.2724,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85011265989&partnerID=40&md5=ca00fde6669b9bea12d472db6f8fc6b2",Article,Scopus,2-s2.0-85011265989
"Leray, M., Knowlton, N.","Random sampling causes the low reproducibility of rare eukaryotic OTUs in Illumina COI metabarcoding",2017,"PeerJ",2017,3, e3006,,,,1,10.7717/peerj.3006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85016040617&partnerID=40&md5=05be525e8b0d02bb3c682da67d1ad0d1",Article,Scopus,2-s2.0-85016040617
"Brazelton, W.J., Thornton, C.N., Hyer, A., Twing, K.I., Longino, A.A., Lang, S.Q., Lilley, M.D., Früh-Green, G.L., Schrenk, M.O.","Metagenomic identification of active methanogens and methanotrophs in serpentinite springs of the Voltri Massif, Italy",2017,"PeerJ",2017,1, e2945,,,,1,10.7717/peerj.2945,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85013195001&partnerID=40&md5=35f0c42a65f8fc0e45da752a548d0770",Article,Scopus,2-s2.0-85013195001
"Gutiérrez, E.G., Canchola, G.H., León Paniagua, L.S., Méndez, N.M., Ortega, J.","Isolation and characterization of microsatellite markers for Sturnira parvidens and cross-species amplification in Sturnira species",2017,"PeerJ",2017,5, 3367,,,,,10.7717/peerj.3367,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019926592&partnerID=40&md5=09b16cc8266624c97832f80b85cfb3c4",Article,Scopus,2-s2.0-85019926592
"Bölte, J., Hösker, T.M., Hirschfeld, G., Thielsch, M.T.","Electrophysiological correlates of aesthetic processing of webpages: A comparison of experts and laypersons",2017,"PeerJ",2017,6, e3440,,,,,10.7717/peerj.3440,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85020222544&partnerID=40&md5=9b993e806da6f45d73ccc483b70e295d",Article,Scopus,2-s2.0-85020222544
"Spurnić, A.R., Brmbolić, B., Stojšić, Z., Pekmezović, T., Bukumirić, Z., Korać, M., Salemoví, D., Pešić-Pavloví, I., Stevanoví, G., Miloševí, I., Jevtoví, D.","The increasing prevalence of HIV/Helicobacter pylori co-infection over time, along with the evolution of antiretroviral therapy (ART)",2017,"PeerJ",2017,5, e3392,,,,,10.7717/peerj.3392,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019686288&partnerID=40&md5=e80b32a698f8ac2333009c7707dc9a5e",Article,Scopus,2-s2.0-85019686288
"LaZerte, S.E., Slabbekoorn, H., Otter, K.A.","Territorial black-capped chickadee males respond faster to high- than to low-frequency songs in experimentally elevated noise conditions",2017,"PeerJ",2017,4, e3257,,,,,10.7717/peerj.3257,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85018179728&partnerID=40&md5=e3968afda539723de724e8348fbdbdab",Article,Scopus,2-s2.0-85018179728
