doi,title
10.7717/peerj.3365,Analyses of antioxidant status and nucleotide alterations in genes encoding antioxidant enzymes in patients with benign and malignant thyroid disorders
10.7717/peerj.3285,Anhanguera taxonomy revisited: Is our understanding of Santana Group pterosaur diversity biased by poor biological and stratigraphic control?
10.7717/peerj.2970,"Occurrence of concurrent infections with multiple serotypes of dengue viruses during 2013-2015 in northern Kerala, India"
10.7717/peerj.2724,Computer simulation of Cerebral Arteriovenous Malformation-validation analysis of hemodynamics parameters
10.7717/peerj.3006,Random sampling causes the low reproducibility of rare eukaryotic OTUs in Illumina COI metabarcoding
10.7717/peerj.2945,"Metagenomic identification of active methanogens and methanotrophs in serpentinite springs of the Voltri Massif, Italy"
10.7717/peerj.3367,Isolation and characterization of microsatellite markers for Sturnira parvidens and cross-species amplification in Sturnira species
10.7717/peerj.3440,Electrophysiological correlates of aesthetic processing of webpages: A comparison of experts and laypersons
10.7717/peerj.3392,"The increasing prevalence of HIV/Helicobacter pylori co-infection over time, along with the evolution of antiretroviral therapy (ART)"
10.7717/peerj.3257,Territorial black-capped chickadee males respond faster to high- than to low-frequency songs in experimentally elevated noise conditions
10.7717/peerj.3358,Factors affecting genotyping success in giant panda fecal samples
10.7717/peerj.3226,Whole genome sequencing of group A Streptococcus: Development and evaluation of an automated pipeline for emm gene typing
10.7717/peerj.3535,In vivo function of Pgβglu-1 in the release of acetophenones in white spruce
10.7717/peerj.3562,Cuticle hydrocarbons in saline aquatic beetles
10.7717/peerj.3439,Identification of two CiGADs from Caragana intermedia and their transcriptional responses to abiotic stresses and exogenous abscisic acid
10.7717/peerj.2858,Upregulation of NOXA by 10-Hydroxycamptothecin plays a key role in inducing fibroblasts apoptosis and reducing epidural fibrosis
10.7717/peerj.2855,Interferon- γ responses to Plasmodium falciparum vaccine candidate antigens decrease in the absence of malaria transmission
10.7717/peerj.3012,The Non-Recurrent Laryngeal Nerve: A meta-analysis and clinical considerations
10.7717/peerj.3092,Contrasting determinants for the introduction and establishment success of exotic birds in Taiwan using decision trees models
10.7717/peerj.3000,Spawning aggregation of white-streaked grouper Epinephelus ongus: Spatial distribution and annual variation in the fish density within a spawning ground
10.7717/peerj.3662,The key role of microtubules in hypoxia preconditioning-induced nuclear translocation of HIF-1α in rat cardiomyocytes
10.7717/peerj.3652,Extended exposure to elevated temperature affects escape response behaviour in coral reef fishes
10.7717/peerj.3352,The metabolic profile of a rat model of chronic kidney disease
10.7717/peerj.3627,The extracellular vesicles secreted by lung cancer cells in radiation therapy promote endothelial cell angiogenesis by transferring miR-23a
10.7717/peerj.3739,Stress responses to conspecific visual cues of predation risk in zebrafish
10.7717/peerj.2902,Accelerometer-measured physical activity is not associated with two-year weight change in African-origin adults from five diverse populations
10.7717/peerj.3799,Development and evaluation of rapid novel isothermal amplification assays for important veterinary pathogens: Chlamydia psittaci and Chlamydia pecorum
10.7717/peerj.2938,Transcriptome analysis of Polygonum minus reveals candidate genes involved in important secondary metabolic pathways of phenylpropanoids and flavonoids
10.7717/peerj.3481,"Razanandrongobe sakalavae, a gigantic mesoeucrocodylian from the Middle Jurassic of Madagascar, is the oldest known notosuchian"
10.7717/peerj.3205,Mitochondrial diversity in Gonionemus (Trachylina: Hydrozoa) and its implications for understanding the origins of clinging jellyfish in the Northwest Atlantic Ocean
10.7717/peerj.3402,The presumed oldest flying insect: More likely a myriapod?
10.7717/peerj.3235,"Worldwide exploration of the microbiome harbored by the cnidarian model, Exaiptasia pallida (Agassiz in Verrill, 1864) indicates a lack of bacterial association specificity at a lower taxonomic rank"
10.7717/peerj.3893,"Benchmark datasets for phylogenomic pipeline validation, applications for foodborne pathogen surveillance"
10.7717/peerj.3855,Assessment on the coupling effects of drip irrigation and organic fertilization based on entropy weight coefficient model
10.7717/peerj.3833,Mysterious inhibitory cell regulator investigated and found likely to be secretogranin II related
10.7717/peerj.3785,Factors influencing healthcare provider respondent fatigue answering a globally administered in-app survey
10.7717/peerj.3141,"Physiological effects of five different marine natural organic matters (NOMs) and three different metals (cu, Pb, Zn) on early life stages of the blue mussel (Mytilus galloprovincialis)"
10.7717/peerj.2936,"Genetic diversity and differentiation in reef-Building millepora species, as revealed by cross-Species amplification of fifteen novel microsatellite loci"
10.7717/peerj.2934,FUCHS-towards full circular RNA characterization using RNAseq
10.7717/peerj.3317,Microbiome patterns across the gastrointestinal tract of the rabbitfish Siganus fuscescens
